"source","state_name","school_year","year","population_size","any_rate","medical_rate","non_medical_rate","any_n","medical_n","non_medical_n"
"school_vax_view","Vermont","2021-22",2021,6126,3.3,0.1,3.2,202,6,196
"school_vax_view","Vermont","2022-23",2022,5816,3.6,0.2,3.3,208,14,194
"school_vax_view","Vermont","2023-24",2023,5630,4,0.2,3.8,227,11,216
"school_vax_view","Vermont","2024-25",2024,5432,3.9,0.2,3.7,212,11,201
"school_vax_view","Virginia","2019-20",2019,99399,1.7,0.3,1.4,1711,333,1378
"school_vax_view","Virginia","2020-21",2020,88273,1.5,0.2,1.2,1288,214,1074
"school_vax_view","Virginia","2021-22",2021,95996,1.8,0.3,1.5,1638,263,1375
"school_vax_view","Virginia","2022-23",2022,93271,2.2,0.3,1.9,2055,283,1772
"school_vax_view","Virginia","2023-24",2023,92633,2.4,0.3,2.1,2204,273,1930
"school_vax_view","Virginia","2024-25",2024,91453,2.7,0.3,2.4,2433,301,2131
"school_vax_view","Washington","2019-20",2019,87757,4.6,0.7,5,NA,647,4359
"school_vax_view","Washington","2020-21",2020,74931,3.3,0.5,2.1,2503,389,1563
"school_vax_view","Washington","2021-22",2021,87256,3.7,0.5,2.5,3200,465,2215
"school_vax_view","Washington","2022-23",2022,86284,4,0.4,3.2,3471,366,2757
"school_vax_view","Washington","2023-24",2023,84053,4.8,0.4,3.9,4025,342,3276
"school_vax_view","Washington","2024-25",2024,76756,4.8,0.4,3.9,3654,273,3006
"school_vax_view","West Virginia","2019-20",2019,17114,0.1,0.1,NA,21,21,NA
"school_vax_view","West Virginia","2020-21",2020,NA,NA,NA,NA,NA,NA,NA
"school_vax_view","West Virginia","2021-22",2021,18070,0.1,0.1,NA,17,17,NA
"school_vax_view","West Virginia","2022-23",2022,19175,0,0,NA,7,7,NA
"school_vax_view","West Virginia","2023-24",2023,18261,0.1,0.1,NA,7,7,NA
"school_vax_view","Wisconsin","2019-20",2019,67391,5.7,0.2,5.5,3861,168,3693
"school_vax_view","Wisconsin","2020-21",2020,63486,5.2,0.2,4.9,3294,154,3141
"school_vax_view","Wisconsin","2021-22",2021,64275,6.3,0.3,6,4071,198,3873
"school_vax_view","Wisconsin","2022-23",2022,63593,7.2,0.5,6.7,4583,340,4244
"school_vax_view","Wisconsin","2023-24",2023,62028,7.7,0.4,6.2,4788,239,3833
"school_vax_view","Wisconsin","2024-25",2024,61120,7.6,0.5,6.3,4641,331,3881
"school_vax_view","Wyoming","2019-20",2019,7913,3.5,0.3,3.2,280,24,256
"school_vax_view","Wyoming","2020-21",2020,6923,3,NA,NA,205,NA,NA
"school_vax_view","Wyoming","2021-22",2021,7382,3.9,0.2,3.7,289,15,274
"school_vax_view","Wyoming","2022-23",2022,7060,4.8,0.2,4.6,339,16,323
"school_vax_view","Wyoming","2023-24",2023,6754,5.6,0.2,5.4,378,14,364
"school_vax_view","Wyoming","2024-25",2024,6564,5.9,0.2,5.7,386,15,371
