"source","vaccine","state_name","season","season_start","month","month_rank","vaccine_coverage_estimate","sample_size"
"cdc_iis","nirsevimab","Kentucky","2025-26",2025,"MAR",7,39.9836358792861,52554
"cdc_iis","nirsevimab","Kentucky","2025-26",2025,"APR",8,42.2441679034897,52554
"cdc_iis","nirsevimab","Louisiana","2024-25",2024,"SEP",1,2.86344383379424,28567
"cdc_iis","nirsevimab","Louisiana","2024-25",2024,"OCT",2,20.0462073931829,33328
"cdc_iis","nirsevimab","Louisiana","2024-25",2024,"NOV",3,28.6381895035312,38089
"cdc_iis","nirsevimab","Louisiana","2024-25",2024,"DEC",4,33.380784579123,42851
"cdc_iis","nirsevimab","Louisiana","2024-25",2024,"JAN",5,34.7664454339242,47612
"cdc_iis","nirsevimab","Louisiana","2024-25",2024,"FEB",6,34.7488209573635,52373
"cdc_iis","nirsevimab","Louisiana","2024-25",2024,"MAR",7,34.0427766303777,57134
"cdc_iis","nirsevimab","Louisiana","2025-26",2025,"SEP",1,3.00067430883345,26694
"cdc_iis","nirsevimab","Louisiana","2025-26",2025,"OCT",2,29.5090389493626,31143
"cdc_iis","nirsevimab","Louisiana","2025-26",2025,"NOV",3,39.2897280287705,35592
"cdc_iis","nirsevimab","Louisiana","2025-26",2025,"DEC",4,44.5568292500187,40041
"cdc_iis","nirsevimab","Louisiana","2025-26",2025,"JAN",5,46.1676781299168,44490
"cdc_iis","nirsevimab","Louisiana","2025-26",2025,"FEB",6,46.1983285314371,48939
"cdc_iis","nirsevimab","Louisiana","2025-26",2025,"MAR",7,45.6450887839964,53388
"cdc_iis","nirsevimab","Louisiana","2025-26",2025,"APR",8,45.8829699557953,53388
"cdc_iis","nirsevimab","Maine","2024-25",2024,"SEP",1,0.863754889178618,6136
"cdc_iis","nirsevimab","Maine","2024-25",2024,"OCT",2,25.7996926945104,7159
"cdc_iis","nirsevimab","Maine","2024-25",2024,"NOV",3,36.4747585869698,8181
"cdc_iis","nirsevimab","Maine","2024-25",2024,"DEC",4,38.722294654498,9204
"cdc_iis","nirsevimab","Maine","2024-25",2024,"JAN",5,38.838369023174,10227
"cdc_iis","nirsevimab","Maine","2024-25",2024,"FEB",6,38.4478620321806,11249
"cdc_iis","nirsevimab","Maine","2024-25",2024,"MAR",7,39.3008474576271,12272
"cdc_iis","nirsevimab","Maine","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Maine","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Maine","2025-26",2025,"NOV",3,NA,NA
"cdc_iis","nirsevimab","Maine","2025-26",2025,"DEC",4,NA,NA
"cdc_iis","nirsevimab","Maine","2025-26",2025,"JAN",5,NA,NA
"cdc_iis","nirsevimab","Maine","2025-26",2025,"FEB",6,NA,NA
"cdc_iis","nirsevimab","Maine","2025-26",2025,"MAR",7,NA,NA
"cdc_iis","nirsevimab","Maine","2025-26",2025,"APR",8,NA,NA
"cdc_iis","nirsevimab","Maryland","2024-25",2024,"SEP",1,2.15854219360773,34792
"cdc_iis","nirsevimab","Maryland","2024-25",2024,"OCT",2,21.7689085981769,40590
"cdc_iis","nirsevimab","Maryland","2024-25",2024,"NOV",3,29.5910668477441,46389
"cdc_iis","nirsevimab","Maryland","2024-25",2024,"DEC",4,33.0982811811371,52187
"cdc_iis","nirsevimab","Maryland","2024-25",2024,"JAN",5,34.2272272617528,57986
"cdc_iis","nirsevimab","Maryland","2024-25",2024,"FEB",6,33.8078514988085,63784
"cdc_iis","nirsevimab","Maryland","2024-25",2024,"MAR",7,33.594412428323,69583
"cdc_iis","nirsevimab","Maryland","2025-26",2025,"SEP",1,NA,NA
"cdc_iis","nirsevimab","Maryland","2025-26",2025,"OCT",2,NA,NA
"cdc_iis","nirsevimab","Maryland","2025-26",2025,"NOV",3,NA,NA
