source,state_name,school_year,year,exemption_type,exemption_rate,population_size,number_of_exemptions
school_vax_view,Michigan,2024-25,2024,any,6.8,107636,7306
school_vax_view,Michigan,2024-25,2024,medical,0.3,107636,277
school_vax_view,Michigan,2024-25,2024,non_medical,6.5,107636,7029
school_vax_view,Minnesota,2019-20,2019,any,3.8,71223,2699
school_vax_view,Minnesota,2019-20,2019,medical,0.2,71223,133
school_vax_view,Minnesota,2019-20,2019,non_medical,3.4,71223,2565
school_vax_view,Minnesota,2020-21,2020,any,2.8,66007,1879
school_vax_view,Minnesota,2020-21,2020,medical,0.1,66007,82
school_vax_view,Minnesota,2020-21,2020,non_medical,2.7,66007,1797
school_vax_view,Minnesota,2021-22,2021,any,3.7,69403,2598
school_vax_view,Minnesota,2021-22,2021,medical,0.1,69403,93
school_vax_view,Minnesota,2021-22,2021,non_medical,3.6,69403,2504
school_vax_view,Minnesota,2022-23,2022,any,4.5,68152,3048
school_vax_view,Minnesota,2022-23,2022,medical,0.1,68152,100
school_vax_view,Minnesota,2022-23,2022,non_medical,4.3,68152,2948
school_vax_view,Minnesota,2023-24,2023,any,5.4,66032,3567
school_vax_view,Minnesota,2023-24,2023,medical,0.2,66032,110
school_vax_view,Minnesota,2023-24,2023,non_medical,5.2,66032,3456
